Department,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Dermatology or Infectious Disease Department,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,
Dermatology or Infectious Disease Department, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,
Dermatology or Infectious Disease Department,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,
Dermatology or Infectious Disease Department,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,
Dermatology or Infectious Disease Department,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,
Dermatology or Infectious Disease Department, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,
Dermatology or Infectious Disease Department,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,
Dermatology or Infectious Disease Department,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,
Dermatology or Infectious Disease Department,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,
Dermatology or Infectious Disease Department,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,
Allergy and Immunology Department, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,
Allergy and Immunology Department, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,
Allergy and Immunology Department, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,
Allergy and Immunology Department, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,
Allergy and Immunology Department, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,
Allergy and Immunology Department, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,
Allergy and Immunology Department, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,
Allergy and Immunology Department, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,
Allergy and Immunology Department, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,
Allergy and Immunology Department, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,
Gastroenterology Department, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,
Gastroenterology Department, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,
Gastroenterology Department, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,
Gastroenterology Department, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,
Gastroenterology Department, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,
Gastroenterology Department, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,
Gastroenterology Department, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,
Gastroenterology Department, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,
Gastroenterology Department, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,
Gastroenterology Department, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,
Gastroenterology or Hepatology Department,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,
Gastroenterology or Hepatology Department, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,
Gastroenterology or Hepatology Department,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,
Gastroenterology or Hepatology Department,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,
Gastroenterology or Hepatology Department,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,
